ticker,cap,sector,date,verdict,score,regime,n_eff,inflation_gap,agreement_pct,tier,onset,actual_rr,size,atr,outcome,days_held,r_earned,fam_ma,fam_break,fam_squeeze,fam_mosc,combo,fwd_5d
SPY,index,Broad Market,2024-12-20,LONG,0.2309,neutral,2.67,-0.3896,22.6,WATCH,True,1.5,0.5,6.1469,LOSS,12,-0.5,N,L,N,L,NLNL,-0.4957
SPY,index,Broad Market,2024-12-30,WAIT,-0.0013,neutral,2.09,-0.3233,17.7,WAIT,False,0.0,0.0,6.7235,OPEN,20,0.0,L,N,N,N,LNNN,0.0697
SPY,index,Broad Market,2025-01-07,SHORT,-0.2923,neutral,1.8,-0.4365,21.0,AVOID,True,1.5,0.0,7.3288,LOSS,9,-0.0,N,N,N,L,NNNL,0.705
SPY,index,Broad Market,2025-01-15,SHORT,-0.1992,neutral,2.0,-0.4222,17.7,AVOID,False,1.5,0.0,7.6084,LOSS,5,-0.0,N,N,S,N,NNSN,2.8628
SPY,index,Broad Market,2025-01-23,LONG,0.5598,ranging,2.24,-0.3605,41.9,WATCH,True,1.6666666666666667,0.5,6.8091,LOSS,2,-0.5,L,L,L,S,LLLS,-0.7725
SPY,index,Broad Market,2025-01-30,LONG,0.663,ranging,2.12,-0.5089,32.3,WATCH,False,1.6666666666666667,0.5,6.914,LOSS,2,-0.5,L,N,N,S,LNNS,0.2116
SPY,index,Broad Market,2025-02-06,LONG,0.7021,ranging,1.9,-0.5285,32.3,WATCH,False,1.6666666666666667,0.5,6.8305,LOSS,12,-0.5,L,N,L,L,LNLL,0.5624
SPY,index,Broad Market,2025-02-13,LONG,0.653,ranging,1.89,-0.4878,33.9,WATCH,False,1.6666666666666667,0.5,6.5324,LOSS,5,-0.5,L,N,N,S,LNNS,-1.6056
SPY,index,Broad Market,2025-02-21,LONG,0.3291,ranging,2.31,-0.4065,25.8,WATCH,False,1.6666666666666667,0.5,6.1629,LOSS,2,-0.5,L,N,S,L,LNSL,-0.9601
SPY,index,Broad Market,2025-02-28,WAIT,-0.0108,ranging,3.15,-0.328,17.7,WAIT,False,0.0,0.0,7.2739,OPEN,20,0.0,S,L,S,L,SLSL,-3.0732
SPY,index,Broad Market,2025-03-07,SHORT,-0.2177,neutral,2.09,-0.3669,24.2,AVOID,True,1.5,0.0,9.0656,WIN,19,0.0,S,N,N,L,SNNL,-2.2763
SPY,index,Broad Market,2025-03-14,SHORT,-0.6521,trending,1.73,-0.5357,29.0,AVOID,False,2.0,0.0,10.0613,WIN,15,0.0,S,N,N,L,SNNL,0.5093
